ticker,date,open,high,low,close
ALIS,2025-11-19,9.9,9.92,9.9,9.919
ALIS,2025-11-20,9.9087,9.92,9.9,9.9
ALIS,2025-11-21,9.85,9.92,9.85,9.915
ALIS,2025-11-24,9.92,9.95,9.92,9.92
ALIS,2025-11-25,9.925,9.95,9.92,9.93
ALIS,2025-11-26,9.92,9.95,9.91,9.91
ALIS,2025-11-28,9.95,9.95,9.9,9.9
ALIS,2025-12-01,9.91,9.91,9.9,9.9
ALIS,2025-12-02,9.9,9.91,9.9,9.91
ALIS,2025-12-03,9.91,9.91,9.9,9.9
ALIS,2025-12-04,9.9,9.9,9.9,9.9
ALIS,2025-12-05,9.9,9.9,9.9,9.9
ALIS,2025-12-08,9.9,9.9,9.9,9.9
ALIS,2025-12-09,9.91,9.91,9.895,9.9
ALIS,2025-12-10,9.905,9.91,9.905,9.91
ALIS,2025-12-11,9.905,9.91,9.9,9.91
